Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
01/06/2021,01/04/2020,01/02/2021,TX,Uvalde County,48463,Micropolitan,27,263
01/06/2021,01/04/2020,01/02/2021,TX,Val Verde County,48465,Micropolitan,83,356
01/06/2021,01/04/2020,01/02/2021,TX,Van Zandt County,48467,Noncore,20,467
01/06/2021,01/04/2020,01/02/2021,TX,Victoria County,48469,Small metro,211,1251
01/06/2021,01/04/2020,01/02/2021,TX,Walker County,48471,Micropolitan,38,491
01/06/2021,01/04/2020,01/02/2021,TX,Washington County,48477,Micropolitan,39,350
01/06/2021,01/04/2020,01/02/2021,TX,Webb County,48479,Medium metro,457,2004
01/06/2021,01/04/2020,01/02/2021,TX,Wharton County,48481,Micropolitan,38,356
01/06/2021,01/04/2020,01/02/2021,TX,Wichita County,48485,Small metro,228,1855
01/06/2021,01/04/2020,01/02/2021,TX,Wilbarger County,48487,Micropolitan,21,142
01/06/2021,01/04/2020,01/02/2021,TX,Williamson County,48491,Large fringe metro,275,3768
01/06/2021,01/04/2020,01/02/2021,TX,Wilson County,48493,Large fringe metro,18,370
01/06/2021,01/04/2020,01/02/2021,TX,Wise County,48497,Large fringe metro,77,693
01/06/2021,01/04/2020,01/02/2021,TX,Wood County,48499,Noncore,21,449
01/06/2021,01/04/2020,01/02/2021,TX,Young County,48503,Noncore,16,259
01/06/2021,01/04/2020,01/02/2021,UT,Cache County,49005,Small metro,13,581
01/06/2021,01/04/2020,01/02/2021,UT,Davis County,49011,Medium metro,70,1943
01/06/2021,01/04/2020,01/02/2021,UT,Salt Lake County,49035,Large central metro,673,8508
01/06/2021,01/04/2020,01/02/2021,UT,San Juan County,49037,Noncore,11,100
01/06/2021,01/04/2020,01/02/2021,UT,Utah County,49049,Medium metro,224,3101
01/06/2021,01/04/2020,01/02/2021,UT,Washington County,49053,Small metro,131,1865
01/06/2021,01/04/2020,01/02/2021,UT,Weber County,49057,Medium metro,120,2192
01/06/2021,01/04/2020,01/02/2021,VA,Accomack County,51001,Noncore,23,444
01/06/2021,01/04/2020,01/02/2021,VA,Albemarle County,51003,Small metro,49,1095
01/06/2021,01/04/2020,01/02/2021,VA,Alleghany County,51005,Noncore,20,238
01/06/2021,01/04/2020,01/02/2021,VA,Arlington County,51013,Large central metro,207,1532
01/06/2021,01/04/2020,01/02/2021,VA,Augusta County,51015,Small metro,55,946
01/06/2021,01/04/2020,01/02/2021,VA,Buchanan County,51027,Noncore,11,212
01/06/2021,01/04/2020,01/02/2021,VA,Carroll County,51035,Noncore,13,266
01/06/2021,01/04/2020,01/02/2021,VA,Chesterfield County,51041,Large fringe metro,150,2610
01/06/2021,01/04/2020,01/02/2021,VA,Culpeper County,51047,Large fringe metro,24,390
01/06/2021,01/04/2020,01/02/2021,VA,Fairfax County,51059,Large fringe metro,600,5814
01/06/2021,01/04/2020,01/02/2021,VA,Fauquier County,51061,Large fringe metro,29,512
01/06/2021,01/04/2020,01/02/2021,VA,Floyd County,51063,Small metro,13,148
01/06/2021,01/04/2020,01/02/2021,VA,Franklin County,51067,Medium metro,17,520
01/06/2021,01/04/2020,01/02/2021,VA,Gloucester County,51073,Large fringe metro,16,512
01/06/2021,01/04/2020,01/02/2021,VA,Grayson County,51077,Noncore,12,136
01/06/2021,01/04/2020,01/02/2021,VA,Halifax County,51083,Noncore,60,494
01/06/2021,01/04/2020,01/02/2021,VA,Hanover County,51085,Large fringe metro,137,1466
01/06/2021,01/04/2020,01/02/2021,VA,Henrico County,51087,Large fringe metro,286,3699
01/06/2021,01/04/2020,01/02/2021,VA,James City County,51095,Large fringe metro,15,755
01/06/2021,01/04/2020,01/02/2021,VA,Lee County,51105,Noncore,12,188
01/06/2021,01/04/2020,01/02/2021,VA,Loudoun County,51107,Large fringe metro,168,1940
01/06/2021,01/04/2020,01/02/2021,VA,Mecklenburg County,51117,Noncore,41,490
01/06/2021,01/04/2020,01/02/2021,VA,Middlesex County,51119,Noncore,14,159
01/06/2021,01/04/2020,01/02/2021,VA,Montgomery County,51121,Small metro,44,792
01/06/2021,01/04/2020,01/02/2021,VA,Northampton County,51131,Noncore,15,139
01/06/2021,01/04/2020,01/02/2021,VA,Page County,51139,Noncore,29,268
01/06/2021,01/04/2020,01/02/2021,VA,Patrick County,51141,Noncore,16,184
01/06/2021,01/04/2020,01/02/2021,VA,Prince Edward County,51147,Noncore,13,270
01/06/2021,01/04/2020,01/02/2021,VA,Prince William County,51153,Large fringe metro,170,1875
01/06/2021,01/04/2020,01/02/2021,VA,Pulaski County,51155,Small metro,26,396
01/06/2021,01/04/2020,01/02/2021,VA,Roanoke County,51161,Medium metro,36,705
01/06/2021,01/04/2020,01/02/2021,VA,Rockingham County,51165,Small metro,77,922
01/06/2021,01/04/2020,01/02/2021,VA,Shenandoah County,51171,Noncore,49,471
01/06/2021,01/04/2020,01/02/2021,VA,Smyth County,51173,Noncore,26,363
01/06/2021,01/04/2020,01/02/2021,VA,Southampton County,51175,Noncore,14,132
01/06/2021,01/04/2020,01/02/2021,VA,Spotsylvania County,51177,Large fringe metro,31,788
01/06/2021,01/04/2020,01/02/2021,VA,Tazewell County,51185,Micropolitan,12,540
01/06/2021,01/04/2020,01/02/2021,VA,Warren County,51187,Large fringe metro,12,341
01/06/2021,01/04/2020,01/02/2021,VA,Washington County,51191,Medium metro,53,709
01/06/2021,01/04/2020,01/02/2021,VA,Wise County,51195,Micropolitan,43,365
01/06/2021,01/04/2020,01/02/2021,VA,Wythe County,51197,Noncore,24,385
01/06/2021,01/04/2020,01/02/2021,VA,York County,51199,Large fringe metro,25,525
01/06/2021,01/04/2020,01/02/2021,VA,Alexandria city,51510,Large central metro,127,941
01/06/2021,01/04/2020,01/02/2021,VA,Charlottesville city,51540,Small metro,82,1136
01/06/2021,01/04/2020,01/02/2021,VA,Chesapeake city,51550,Large fringe metro,91,1854
01/06/2021,01/04/2020,01/02/2021,VA,Colonial Heights city,51570,Large fringe metro,15,230
01/06/2021,01/04/2020,01/02/2021,VA,Danville city,51590,Micropolitan,82,848
01/06/2021,01/04/2020,01/02/2021,VA,Emporia city,51595,Noncore,16,113
01/06/2021,01/04/2020,01/02/2021,VA,Fairfax city,51600,Large fringe metro,10,242
01/06/2021,01/04/2020,01/02/2021,VA,Franklin city,51620,Noncore,33,166
01/06/2021,01/04/2020,01/02/2021,VA,Fredericksburg city,51630,Large fringe metro,67,906
01/06/2021,01/04/2020,01/02/2021,VA,Galax city,51640,Noncore,43,193
01/06/2021,01/04/2020,01/02/2021,VA,Hampton city,51650,Large fringe metro,53,1241
01/06/2021,01/04/2020,01/02/2021,VA,Harrisonburg city,51660,Small metro,18,269
01/06/2021,01/04/2020,01/02/2021,VA,Hopewell city,51670,Large fringe metro,25,352
01/06/2021,01/04/2020,01/02/2021,VA,Lynchburg city,51680,Medium metro,157,1648
01/06/2021,01/04/2020,01/02/2021,VA,Manassas city,51683,Large fringe metro,115,541
01/06/2021,01/04/2020,01/02/2021,VA,Martinsville city,51690,Micropolitan,68,466
01/06/2021,01/04/2020,01/02/2021,VA,Newport News city,51700,Large fringe metro,98,2099
01/06/2021,01/04/2020,01/02/2021,VA,Norfolk city,51710,Large central metro,148,2892
01/06/2021,01/04/2020,01/02/2021,VA,Petersburg city,51730,Large fringe metro,84,849
01/06/2021,01/04/2020,01/02/2021,VA,Portsmouth city,51740,Large fringe metro,80,1134
01/06/2021,01/04/2020,01/02/2021,VA,Richmond city,51760,Large central metro,174,3322
01/06/2021,01/04/2020,01/02/2021,VA,Roanoke city,51770,Medium metro,198,2527
01/06/2021,01/04/2020,01/02/2021,VA,Salem city,51775,Medium metro,95,974
01/06/2021,01/04/2020,01/02/2021,VA,Staunton city,51790,Small metro,11,277
01/06/2021,01/04/2020,01/02/2021,VA,Suffolk city,51800,Large fringe metro,106,969
01/06/2021,01/04/2020,01/02/2021,VA,Virginia Beach city,51810,Large central metro,125,3291
01/06/2021,01/04/2020,01/02/2021,VA,Winchester city,51840,Small metro,84,1148
01/06/2021,01/04/2020,01/02/2021,VT,Chittenden County,50007,Small metro,65,1679
01/06/2021,01/04/2020,01/02/2021,VT,Franklin County,50011,Small metro,17,371
01/06/2021,01/04/2020,01/02/2021,WA,Asotin County,53003,Small metro,15,234
01/06/2021,01/04/2020,01/02/2021,WA,Benton County,53005,Medium metro,205,2024
01/06/2021,01/04/2020,01/02/2021,WA,Chelan County,53007,Small metro,65,975
01/06/2021,01/04/2020,01/02/2021,WA,Clark County,53011,Large fringe metro,128,4093
01/06/2021,01/04/2020,01/02/2021,WA,Franklin County,53021,Medium metro,63,356
01/06/2021,01/04/2020,01/02/2021,WA,Grant County,53025,Micropolitan,42,606
01/06/2021,01/04/2020,01/02/2021,WA,Grays Harbor County,53027,Micropolitan,18,746
01/06/2021,01/04/2020,01/02/2021,WA,Island County,53029,Micropolitan,25,604
01/06/2021,01/04/2020,01/02/2021,WA,King County,53033,Large central metro,989,14905
01/06/2021,01/04/2020,01/02/2021,WA,Kitsap County,53035,Medium metro,28,2093
01/06/2021,01/04/2020,01/02/2021,WA,Kittitas County,53037,Micropolitan,21,306
01/06/2021,01/04/2020,01/02/2021,WA,Lewis County,53041,Micropolitan,18,821
01/06/2021,01/04/2020,01/02/2021,WA,Mason County,53045,Micropolitan,10,533
01/06/2021,01/04/2020,01/02/2021,WA,Okanogan County,53047,Noncore,21,348
01/06/2021,01/04/2020,01/02/2021,WA,Pierce County,53053,Large fringe metro,316,7650
01/06/2021,01/04/2020,01/02/2021,WA,Skagit County,53057,Small metro,38,1301
01/06/2021,01/04/2020,01/02/2021,WA,Snohomish County,53061,Large fringe metro,284,5600
01/06/2021,01/04/2020,01/02/2021,WA,Spokane County,53063,Medium metro,344,5751
01/06/2021,01/04/2020,01/02/2021,WA,Thurston County,53067,Medium metro,56,2537
01/06/2021,01/04/2020,01/02/2021,WA,Walla Walla County,53071,Small metro,38,651
01/06/2021,01/04/2020,01/02/2021,WA,Whatcom County,53073,Small metro,63,1881
01/06/2021,01/04/2020,01/02/2021,WA,Whitman County,53075,Micropolitan,21,269
01/06/2021,01/04/2020,01/02/2021,WA,Yakima County,53077,Small metro,266,2239
01/06/2021,01/04/2020,01/02/2021,WI,Ashland County,55003,Noncore,17,177
01/06/2021,01/04/2020,01/02/2021,WI,Barron County,55005,Noncore,43,489
01/06/2021,01/04/2020,01/02/2021,WI,Brown County,55009,Medium metro,334,2996
01/06/2021,01/04/2020,01/02/2021,WI,Calumet County,55015,Small metro,15,284
01/06/2021,01/04/2020,01/02/2021,WI,Chippewa County,55017,Small metro,45,513
01/06/2021,01/04/2020,01/02/2021,WI,Clark County,55019,Noncore,28,287
01/06/2021,01/04/2020,01/02/2021,WI,Columbia County,55021,Medium metro,25,521
01/06/2021,01/04/2020,01/02/2021,WI,Dane County,55025,Medium metro,301,4844
01/06/2021,01/04/2020,01/02/2021,WI,Dodge County,55027,Micropolitan,108,1013
01/06/2021,01/04/2020,01/02/2021,WI,Door County,55029,Noncore,15,309
01/06/2021,01/04/2020,01/02/2021,WI,Douglas County,55031,Medium metro,33,343
01/06/2021,01/04/2020,01/02/2021,WI,Dunn County,55033,Micropolitan,13,277
01/06/2021,01/04/2020,01/02/2021,WI,Eau Claire County,55035,Small metro,120,1380
01/06/2021,01/04/2020,01/02/2021,WI,Fond du Lac County,55039,Small metro,98,1105
01/06/2021,01/04/2020,01/02/2021,WI,Grant County,55043,Micropolitan,51,478
01/06/2021,01/04/2020,01/02/2021,WI,Green Lake County,55047,Noncore,11,233
01/06/2021,01/04/2020,01/02/2021,WI,Iowa County,55049,Medium metro,10,190
01/06/2021,01/04/2020,01/02/2021,WI,Iron County,55051,Noncore,13,72
01/06/2021,01/04/2020,01/02/2021,WI,Jefferson County,55055,Micropolitan,44,711
01/06/2021,01/04/2020,01/02/2021,WI,Kenosha County,55059,Large fringe metro,222,1688
01/06/2021,01/04/2020,01/02/2021,WI,Kewaunee County,55061,Medium metro,15,150
01/06/2021,01/04/2020,01/02/2021,WI,La Crosse County,55063,Small metro,133,1596
01/06/2021,01/04/2020,01/02/2021,WI,Langlade County,55067,Noncore,24,211
01/06/2021,01/04/2020,01/02/2021,WI,Lincoln County,55069,Micropolitan,37,320
01/06/2021,01/04/2020,01/02/2021,WI,Manitowoc County,55071,Micropolitan,46,809
01/06/2021,01/04/2020,01/02/2021,WI,Marathon County,55073,Small metro,222,1708
01/06/2021,01/04/2020,01/02/2021,WI,Marinette County,55075,Micropolitan,57,559
01/06/2021,01/04/2020,01/02/2021,WI,Marquette County,55077,Noncore,10,148
01/06/2021,01/04/2020,01/02/2021,WI,Milwaukee County,55079,Large central metro,962,10673
01/06/2021,01/04/2020,01/02/2021,WI,Monroe County,55081,Noncore,18,434
01/06/2021,01/04/2020,01/02/2021,WI,Oconto County,55083,Medium metro,19,315
01/06/2021,01/04/2020,01/02/2021,WI,Oneida County,55085,Noncore,42,547
01/06/2021,01/04/2020,01/02/2021,WI,Outagamie County,55087,Small metro,218,1868
01/06/2021,01/04/2020,01/02/2021,WI,Ozaukee County,55089,Large fringe metro,138,1215
01/06/2021,01/04/2020,01/02/2021,WI,Pierce County,55093,Large fringe metro,18,237
01/06/2021,01/04/2020,01/02/2021,WI,Polk County,55095,Noncore,14,406
01/06/2021,01/04/2020,01/02/2021,WI,Portage County,55097,Micropolitan,43,502
01/06/2021,01/04/2020,01/02/2021,WI,Racine County,55101,Small metro,192,1866
01/06/2021,01/04/2020,01/02/2021,WI,Rock County,55105,Small metro,125,1793
01/06/2021,01/04/2020,01/02/2021,WI,Rusk County,55107,Noncore,11,139
01/06/2021,01/04/2020,01/02/2021,WI,St. Croix County,55109,Large fringe metro,23,621
01/06/2021,01/04/2020,01/02/2021,WI,Sauk County,55111,Micropolitan,29,635
01/06/2021,01/04/2020,01/02/2021,WI,Shawano County,55115,Micropolitan,49,441
01/06/2021,01/04/2020,01/02/2021,WI,Sheboygan County,55117,Small metro,131,1287
01/06/2021,01/04/2020,01/02/2021,WI,Taylor County,55119,Noncore,28,170
01/06/2021,01/04/2020,01/02/2021,WI,Trempealeau County,55121,Noncore,27,249
01/06/2021,01/04/2020,01/02/2021,WI,Vernon County,55123,Noncore,20,306
01/06/2021,01/04/2020,01/02/2021,WI,Vilas County,55125,Noncore,10,200
01/06/2021,01/04/2020,01/02/2021,WI,Walworth County,55127,Micropolitan,77,913
01/06/2021,01/04/2020,01/02/2021,WI,Washington County,55131,Large fringe metro,65,1133
01/06/2021,01/04/2020,01/02/2021,WI,Waukesha County,55133,Large fringe metro,423,3945
01/06/2021,01/04/2020,01/02/2021,WI,Waupaca County,55135,Noncore,104,679
01/06/2021,01/04/2020,01/02/2021,WI,Winnebago County,55139,Small metro,175,1892
01/06/2021,01/04/2020,01/02/2021,WI,Wood County,55141,Micropolitan,95,1293
01/06/2021,01/04/2020,01/02/2021,WV,Berkeley County,54003,Medium metro,33,919
01/06/2021,01/04/2020,01/02/2021,WV,Brooke County,54009,Small metro,16,363
01/06/2021,01/04/2020,01/02/2021,WV,Cabell County,54011,Medium metro,99,1969
01/06/2021,01/04/2020,01/02/2021,WV,Greenbrier County,54025,Noncore,15,421
01/06/2021,01/04/2020,01/02/2021,WV,Harrison County,54033,Micropolitan,33,898
01/06/2021,01/04/2020,01/02/2021,WV,Jackson County,54035,Noncore,11,204
01/06/2021,01/04/2020,01/02/2021,WV,Kanawha County,54039,Small metro,216,3210
01/06/2021,01/04/2020,01/02/2021,WV,Logan County,54045,Micropolitan,32,404
01/06/2021,01/04/2020,01/02/2021,WV,Marshall County,54051,Small metro,26,274
01/06/2021,01/04/2020,01/02/2021,WV,Mercer County,54055,Micropolitan,38,758
01/06/2021,01/04/2020,01/02/2021,WV,Mineral County,54057,Small metro,13,179
01/06/2021,01/04/2020,01/02/2021,WV,Monongalia County,54061,Small metro,88,1668
01/06/2021,01/04/2020,01/02/2021,WV,Ohio County,54069,Small metro,65,961
01/06/2021,01/04/2020,01/02/2021,WV,Preston County,54077,Small metro,10,261
01/06/2021,01/04/2020,01/02/2021,WV,Putnam County,54079,Medium metro,31,400
01/06/2021,01/04/2020,01/02/2021,WV,Raleigh County,54081,Small metro,28,1244
01/06/2021,01/04/2020,01/02/2021,WV,Wayne County,54099,Medium metro,13,247
01/06/2021,01/04/2020,01/02/2021,WV,Wood County,54107,Small metro,31,964
01/06/2021,01/04/2020,01/02/2021,WY,Big Horn County,56003,Noncore,10,113
01/06/2021,01/04/2020,01/02/2021,WY,Campbell County,56005,Micropolitan,14,288
01/06/2021,01/04/2020,01/02/2021,WY,Converse County,56009,Noncore,10,113
01/06/2021,01/04/2020,01/02/2021,WY,Fremont County,56013,Micropolitan,35,424
01/06/2021,01/04/2020,01/02/2021,WY,Goshen County,56015,Noncore,13,146
01/06/2021,01/04/2020,01/02/2021,WY,Laramie County,56021,Small metro,53,926
01/06/2021,01/04/2020,01/02/2021,WY,Natrona County,56025,Small metro,105,993
01/06/2021,01/04/2020,01/02/2021,WY,Sheridan County,56033,Micropolitan,16,296
01/06/2021,01/04/2020,01/02/2021,WY,Sweetwater County,56037,Micropolitan,16,344
01/06/2021,01/04/2020,01/02/2021,WY,Washakie County,56043,Noncore,13,84
